SequenceID	ClusterID
seq_238	84
seq_458	103
seq_282	94
seq_143	56
seq_2138	77
seq_1402	239
seq_105	38
seq_13	3
seq_1205	41
seq_207	77
seq_63	23
seq_2507	295
seq_442	97
seq_1228	223
seq_22	6
seq_98	36
seq_5367	509
seq_118	46
seq_125	50
seq_2363	140
seq_2333	209
seq_891	20
seq_4078	393
seq_1125	182
seq_5314	496
seq_5365	495
seq_1531	56
seq_296	100
seq_5313	495
seq_421	123
seq_5175	460
seq_1986	281
seq_102	37
seq_113	44
seq_5098	434
seq_2581	224
seq_1057	10
seq_981	202
seq_1054	6
seq_5358	507
seq_5352	476
seq_32	7
seq_3809	380
seq_3987	388
seq_1487	1
seq_6007	440
seq_227	81
seq_5118	446
seq_7294	688
seq_1115	94
seq_6195	446
seq_5085	424
seq_948	165
seq_108	41
seq_630	56
seq_166	43
seq_1158	38
seq_522	143
seq_3421	269
seq_900	150
seq_152	60
seq_1495	247
seq_5130	450
seq_153	61
seq_5247	481
seq_181	44
seq_2686	3
seq_961	200
seq_5088	427
seq_81	30
seq_2521	43
seq_880	72
seq_427	30
seq_1645	260
seq_94	35
seq_6546	474
seq_5444	495
seq_8456	764
seq_4470	415
seq_6248	433
seq_55	19
seq_7044	692
seq_2032	41
seq_6005	605
seq_6785	433
seq_5551	514
seq_3909	385
seq_35	8
seq_5207	471
seq_646	140
seq_151	59
seq_5180	462
seq_2392	103
seq_5425	515
seq_3346	353
seq_1921	241
seq_1544	251
seq_1844	110
seq_425	125
seq_197	72
seq_6253	496
seq_5391	452
seq_389	104
seq_449	132
seq_1822	273
seq_252	90
seq_1743	172
seq_5366	508
seq_5179	461
seq_244	85
seq_2403	302
seq_867	183
seq_6844	657
seq_245	86
seq_3531	366
seq_196	71
seq_608	66
seq_2102	53
seq_2540	275
seq_2617	43
seq_1169	182
seq_2386	3
seq_8707	778
seq_911	192
seq_5757	514
seq_1952	279
seq_413	42
seq_3822	110
seq_6122	577
seq_3605	66
seq_1840	18
seq_5353	453
seq_5280	488
seq_967	76
seq_5608	545
seq_8	1
seq_43	11
seq_5945	496
seq_7708	632
seq_5995	574
seq_49	15
seq_489	72
seq_1314	231
seq_820	0
seq_376	115
seq_927	193
seq_1838	274
seq_1340	232
seq_210	51
seq_1714	264
seq_692	163
seq_1702	263
seq_170	66
seq_620	151
seq_5471	427
seq_444	131
seq_72	27
seq_5107	439
seq_437	129
seq_1387	37
seq_5978	601
seq_65	25
seq_52	17
seq_1134	218
seq_6745	481
seq_7076	522
seq_5093	431
seq_293	98
seq_5609	546
seq_2157	287
seq_1160	219
seq_5516	528
seq_5936	369
seq_357	111
seq_637	154
seq_404	120
seq_412	121
seq_316	105
seq_3506	202
seq_5335	501
seq_455	133
seq_93	34
seq_194	70
seq_163	65
seq_3146	215
seq_64	24
seq_3130	184
seq_6169	625
seq_5135	25
seq_110	43
seq_5971	600
seq_1502	248
seq_978	50
seq_2644	317
seq_5520	529
seq_592	149
seq_8467	767
seq_275	25
seq_291	97
seq_3292	231
seq_6082	616
seq_572	11
seq_2433	303
seq_5412	450
seq_5708	563
seq_199	74
seq_872	186
seq_5104	438
seq_3538	367
seq_5129	433
seq_4435	413
seq_3623	145
seq_655	156
seq_117	45
seq_136	52
seq_1828	217
seq_297	101
seq_654	155
seq_358	112
seq_2550	309
seq_1375	235
seq_2929	339
seq_3496	364
seq_7038	590
seq_5423	514
seq_18	4
seq_1076	32
seq_3148	347
seq_3444	357
seq_1756	267
seq_6684	666
seq_7221	709
seq_1027	205
seq_632	11
seq_5549	533
seq_2851	330
seq_6982	589
seq_2867	289
seq_2473	305
seq_51	16
seq_3296	351
seq_6434	648
seq_5124	448
seq_3466	361
seq_5296	492
seq_2305	295
seq_5404	513
seq_7502	601
seq_7504	692
seq_3733	12
seq_5341	502
seq_40	10
seq_3629	371
seq_3069	213
seq_2591	312
seq_224	22
seq_400	2
seq_685	160
seq_725	168
seq_8477	769
seq_2326	59
seq_4096	395
seq_59	22
seq_2564	310
seq_743	88
seq_6285	598
seq_5469	522
seq_188	68
seq_91	33
seq_7849	729
seq_574	67
seq_724	47
seq_7561	722
seq_8286	751
seq_6074	613
seq_132	51
seq_4269	408
seq_3158	348
seq_8162	746
seq_6469	514
seq_761	170
seq_1026	204
seq_109	42
seq_7997	737
seq_4118	392
seq_5636	552
seq_952	40
seq_6039	608
seq_295	99
seq_1836	163
seq_2546	182
seq_84	31
seq_57	21
seq_1442	243
seq_5117	445
seq_259	35
seq_541	145
seq_783	175
seq_1087	213
seq_760	23
seq_370	113
seq_5205	470
seq_7890	733
seq_4569	394
seq_397	119
seq_8309	754
seq_1732	264
seq_3970	16
seq_1820	272
seq_2371	43
seq_377	116
seq_879	29
seq_5847	582
seq_2238	289
seq_1868	133
seq_744	54
seq_2335	38
seq_1448	209
seq_6283	635
seq_1771	268
seq_1427	242
seq_5109	440
seq_8171	453
seq_1411	240
seq_5485	525
seq_1389	237
seq_2242	158
seq_6393	645
seq_518	142
seq_2873	333
seq_2846	329
seq_3792	15
seq_3859	383
seq_11	2
seq_220	79
seq_246	87
seq_121	49
seq_699	148
seq_2301	294
seq_6598	657
seq_6387	643
seq_6635	508
seq_7649	695
seq_860	182
seq_6630	660
seq_8157	745
seq_2418	46
seq_287	95
seq_1452	245
seq_2996	343
seq_3382	354
seq_3956	386
seq_2597	313
seq_2757	103
seq_2984	70
seq_5327	497
seq_1129	217
seq_161	64
seq_6581	656
seq_1920	199
seq_5691	560
seq_627	153
seq_265	93
seq_2382	300
seq_2290	292
seq_348	109
seq_2127	286
seq_3093	84
seq_1072	212
seq_2569	120
seq_248	88
seq_1563	253
seq_6100	424
seq_6045	577
seq_8297	647
seq_1302	229
seq_6909	680
seq_3367	242
seq_5110	441
seq_868	184
seq_7476	691
seq_2695	320
seq_2841	328
seq_5483	524
seq_839	180
seq_6128	622
seq_661	157
seq_1558	252
seq_5225	455
seq_8439	459
seq_2919	202
seq_3495	363
seq_330	107
seq_2207	288
seq_502	27
seq_204	76
seq_371	114
seq_778	173
seq_3032	345
seq_1629	257
seq_6921	680
seq_8858	781
seq_3600	369
seq_1509	249
seq_3705	375
seq_966	201
seq_45	12
seq_7139	452
seq_3407	355
seq_176	67
seq_3116	346
seq_2221	86
seq_8495	509
seq_5139	453
seq_870	185
seq_1053	56
seq_5758	571
seq_6112	620
seq_8512	445
seq_5307	493
seq_1060	210
seq_5097	433
seq_5148	454
seq_878	187
seq_1117	216
seq_5729	32
seq_3584	368
seq_1422	241
seq_1873	277
seq_5257	484
seq_3915	59
seq_1003	1
seq_1240	224
seq_410	58
seq_538	144
seq_898	189
seq_1094	214
seq_467	90
seq_8674	446
seq_1896	278
seq_5226	474
seq_378	117
seq_2493	279
seq_2628	316
seq_119	47
seq_158	63
seq_2970	232
seq_324	106
seq_5084	423
seq_180	68
seq_2777	323
seq_6650	440
seq_6356	473
seq_6764	643
seq_1665	106
seq_1730	266
seq_554	147
seq_662	158
seq_1037	207
seq_5499	526
seq_616	150
seq_670	4
seq_8258	456
seq_8106	741
seq_3681	163
seq_765	171
seq_887	188
seq_5113	444
seq_7003	624
seq_192	69
seq_3566	365
seq_849	121
seq_907	191
seq_953	198
seq_2823	325
seq_4255	407
seq_510	140
seq_2909	337
seq_3712	376
seq_7975	535
seq_6495	650
seq_7219	708
seq_712	166
seq_1063	11
seq_7135	701
seq_5797	577
seq_5639	553
seq_1819	271
seq_5329	498
seq_426	126
seq_5798	524
seq_638	32
seq_5272	432
seq_4133	399
seq_229	82
seq_4141	401
seq_3266	67
seq_6914	681
seq_3523	97
seq_3638	372
seq_3078	196
seq_333	108
seq_5427	494
seq_2470	82
seq_929	194
seq_789	176
seq_1184	221
seq_1644	259
seq_1659	261
seq_1396	238
seq_1225	222
seq_3988	389
seq_366	7
seq_236	83
seq_312	103
seq_7082	697
seq_1439	109
seq_2291	293
seq_301	102
seq_345	48
seq_696	164
seq_773	172
seq_782	174
seq_1173	220
seq_3472	362
seq_2626	315
seq_46	13
seq_958	199
seq_938	197
seq_2042	284
seq_5648	434
seq_5102	437
seq_137	53
seq_4239	406
seq_5621	548
seq_106	39
seq_85	32
seq_6104	589
seq_5631	551
seq_1958	197
seq_8431	762
seq_2786	324
seq_2905	232
seq_7217	665
seq_2707	186
seq_1104	215
seq_1669	149
seq_1311	230
seq_7776	709
seq_3779	378
seq_6305	636
seq_3420	356
seq_2931	340
seq_5173	459
seq_6872	677
seq_5181	463
seq_2028	282
seq_1241	225
seq_6156	623
seq_3612	370
seq_4751	419
seq_2713	321
seq_2903	336
seq_6187	626
seq_843	181
seq_6995	687
seq_497	139
seq_1231	52
seq_226	80
seq_474	136
seq_707	165
seq_2920	338
seq_2969	341
seq_3059	233
seq_3310	352
seq_3644	373
seq_3813	81
seq_6486	438
seq_6817	672
seq_2666	212
seq_1364	233
seq_1853	276
seq_690	162
seq_6240	632
seq_3900	384
seq_2832	326
seq_3828	381
seq_621	152
seq_645	13
seq_1011	27
seq_2694	319
seq_2739	322
seq_56	20
seq_5745	569
seq_5837	454
seq_8154	444
seq_674	159
seq_902	190
seq_146	57
seq_6012	520
seq_7397	526
seq_1536	250
seq_8774	781
seq_420	122
seq_1576	254
seq_1640	258
seq_4172	402
seq_3789	379
seq_4397	245
seq_200	75
seq_5994	604
seq_2310	296
seq_2460	304
seq_1473	246
seq_288	96
seq_314	104
seq_2249	290
seq_1380	236
seq_3463	360
seq_2183	249
seq_2195	68
seq_3974	387
seq_1186	205
seq_8227	749
seq_2649	318
seq_5408	508
seq_7036	452
seq_8728	485
seq_5282	489
seq_2986	320
seq_4077	392
seq_4083	394
seq_7999	539
seq_795	177
seq_3169	349
seq_8740	780
seq_5259	485
seq_8873	784
seq_6344	638
seq_4184	403
seq_2870	332
seq_1777	269
seq_8223	748
seq_7265	712
seq_8551	774
seq_5128	449
seq_5162	456
seq_6391	644
seq_6937	598
seq_459	134
seq_6807	654
seq_4757	394
seq_7552	720
seq_7795	727
seq_260	92
seq_4128	397
seq_4132	398
seq_4263	335
seq_8643	777
seq_3001	344
seq_1010	203
seq_9008	625
seq_1253	226
seq_1787	32
seq_1043	208
seq_4589	418
seq_149	58
seq_7205	707
seq_8255	750
seq_8370	756
seq_5152	455
seq_6151	488
seq_6538	654
seq_198	73
seq_256	91
seq_5111	442
seq_2477	306
seq_8464	766
seq_392	118
seq_1797	270
seq_5193	466
seq_583	148
seq_7884	671
seq_3277	350
seq_214	78
seq_7195	444
seq_154	62
seq_54	18
seq_77	28
seq_8287	752
seq_3518	365
seq_2165	152
seq_680	140
seq_2985	342
seq_2935	121
seq_3774	377
seq_4004	390
seq_2573	311
seq_1029	206
seq_4229	405
seq_1968	74
seq_931	195
seq_542	146
seq_2611	314
seq_2838	327
seq_67	26
seq_6507	652
seq_6700	669
seq_6161	624
seq_4318	411
seq_5852	583
seq_719	167
seq_932	196
seq_5740	568
seq_2544	308
seq_5278	474
seq_355	110
seq_461	135
seq_6123	621
seq_6846	577
seq_3448	358
seq_5697	561
seq_5768	573
seq_4104	6
seq_5090	429
seq_2076	285
seq_4439	414
seq_4288	409
seq_7381	596
seq_5939	594
seq_5974	550
seq_5901	590
seq_5871	586
seq_2334	297
seq_5470	436
seq_6361	640
seq_6475	558
seq_8499	770
seq_7031	691
seq_5663	556
seq_7775	608
seq_429	127
seq_1374	234
seq_1444	244
seq_423	124
seq_5246	480
seq_7871	601
seq_140	54
seq_4473	416
seq_1700	262
seq_492	138
seq_833	179
seq_1059	209
seq_5583	541
seq_5793	576
seq_334	109
seq_443	130
seq_7929	585
seq_5607	544
seq_5683	558
seq_1566	189
seq_4060	391
seq_6632	661
seq_5814	579
seq_6068	611
seq_5087	426
seq_8382	757
seq_7192	705
seq_5191	465
seq_6214	628
seq_6534	653
seq_2525	307
seq_47	14
seq_7111	579
seq_1965	280
seq_8349	0
seq_4493	199
seq_4018	220
seq_2887	335
seq_4058	191
seq_4102	396
seq_5787	427
seq_7969	714
seq_5542	456
seq_7278	713
seq_4425	38
seq_866	65
seq_8593	644
seq_2394	301
seq_2634	159
seq_8526	771
seq_38	9
seq_6034	548
seq_2193	222
seq_8067	739
seq_5563	453
seq_5448	424
seq_3786	51
seq_3673	374
seq_2878	334
seq_5654	555
seq_7852	730
seq_5309	32
seq_6197	425
seq_6064	610
seq_6111	619
seq_8437	763
seq_5577	539
seq_107	40
seq_3239	6
seq_4134	400
seq_4211	404
seq_7100	0
seq_8891	550
seq_4298	410
seq_4324	412
seq_6003	0
seq_8836	783
seq_6680	665
seq_6426	647
seq_6605	658
seq_4832	420
seq_6932	684
seq_5220	473
seq_1627	256
seq_5556	535
seq_5507	527
seq_5531	530
seq_5821	580
seq_5579	540
seq_1278	227
seq_2286	291
seq_512	141
seq_8792	752
seq_7361	645
seq_5733	566
seq_8155	744
seq_8514	597
seq_8913	786
seq_2857	331
seq_3725	7
seq_1066	124
seq_120	48
seq_5962	598
seq_6460	649
seq_728	169
seq_800	178
seq_5557	536
seq_5826	581
seq_2034	283
seq_6257	633
seq_2690	117
seq_4767	86
seq_8518	745
seq_5672	557
seq_570	32
seq_9098	770
seq_7577	472
seq_6438	529
seq_1071	211
seq_5857	584
seq_5245	479
seq_5589	515
seq_1288	228
seq_8298	753
seq_433	128
seq_4775	221
seq_5289	490
seq_7172	590
seq_3452	359
seq_3858	382
seq_6075	529
seq_7928	735
seq_7944	463
seq_8075	703
seq_5094	432
seq_5767	572
seq_5086	425
seq_5572	537
seq_6076	614
seq_8270	495
seq_5114	445
seq_5163	457
seq_5645	554
seq_6024	607
seq_7919	734
seq_8411	759
seq_8102	685
seq_8534	773
seq_2353	298
seq_5946	595
seq_5182	464
seq_7557	721
seq_5751	570
seq_250	89
seq_7292	714
seq_7758	0
seq_7761	605
seq_8402	687
seq_7540	652
seq_7865	731
seq_4494	417
seq_7424	716
seq_8398	758
seq_78	29
seq_6661	663
seq_5120	447
seq_7489	719
seq_8093	740
seq_7237	666
seq_6209	627
seq_9011	778
seq_7286	688
seq_5421	465
seq_7098	699
seq_7886	732
seq_490	137
seq_7180	704
seq_7189	688
seq_6447	627
seq_7063	695
seq_21	5
seq_5089	428
seq_8726	779
seq_5133	451
seq_7725	427
seq_8025	508
seq_8130	743
seq_8807	782
seq_9088	787
seq_2630	239
seq_6219	629
seq_5240	477
seq_6278	503
seq_1571	187
seq_7769	725
seq_8008	738
seq_8426	761
seq_7842	728
seq_8434	762
seq_6542	655
seq_7484	718
seq_8178	747
seq_7047	693
seq_7072	696
seq_7255	671
seq_6225	630
seq_6997	688
seq_7269	622
seq_6359	639
seq_7943	736
seq_5355	505
seq_6336	637
seq_6297	507
seq_4983	421
seq_8630	776
seq_7235	711
seq_7083	427
seq_6777	671
seq_5092	430
seq_7319	534
seq_7709	611
seq_5294	491
seq_5452	519
seq_7783	726
seq_6238	631
seq_7431	717
seq_6922	682
seq_5904	592
seq_7199	706
seq_5786	41
seq_5902	591
seq_6118	431
seq_8007	440
seq_8588	533
seq_5958	597
seq_6820	673
seq_7163	703
seq_5957	596
seq_6382	642
seq_5196	468
seq_6366	641
seq_6929	683
seq_8314	755
seq_686	161
seq_5376	511
seq_5881	588
seq_8124	742
seq_6127	552
seq_7177	686
seq_5641	527
seq_6999	689
seq_7097	698
seq_6069	499
seq_5213	472
seq_7727	562
seq_5687	559
seq_5100	436
seq_1719	265
seq_5235	475
seq_8565	775
seq_7103	523
seq_7041	465
seq_8413	760
seq_6072	513
seq_5550	534
seq_5622	549
seq_1	0
seq_6244	623
seq_6506	651
seq_6620	659
seq_7087	500
seq_8470	768
seq_5562	486
seq_5545	532
seq_6096	617
seq_5724	565
seq_5083	422
seq_8487	631
seq_142	55
seq_5788	575
seq_6979	686
seq_8549	628
seq_2359	299
seq_5099	435
seq_6826	674
seq_6672	664
seq_6907	679
seq_7233	710
seq_5891	589
seq_5879	587
seq_5310	494
seq_7966	540
seq_5325	94
seq_1579	255
seq_5986	574
seq_5237	447
seq_5711	564
seq_5334	500
seq_5261	336
seq_5473	523
seq_8530	772
seq_7053	694
seq_8906	785
seq_7159	702
seq_6696	668
seq_5439	516
seq_5356	506
seq_5620	438
seq_5603	543
seq_7021	543
seq_5112	443
seq_6398	646
seq_5588	473
seq_5970	599
seq_6811	561
seq_6878	678
seq_7022	690
seq_8448	441
seq_6266	634
seq_6420	465
seq_5277	487
seq_6098	618
seq_5993	603
seq_5349	504
seq_5455	520
seq_5784	574
seq_6022	606
seq_5573	538
seq_5236	476
seq_5368	510
seq_5119	412
seq_8670	505
seq_5699	562
seq_6042	609
seq_6633	662
seq_7368	715
seq_5914	593
seq_5614	547
seq_5806	578
seq_8264	459
seq_6071	612
seq_5984	602
seq_5254	483
seq_7646	724
seq_5331	499
seq_5596	542
seq_6079	615
seq_5248	482
seq_5445	517
seq_5451	518
seq_5194	467
seq_6847	675
seq_1839	275
seq_6685	667
seq_5322	432
seq_5869	585
seq_5543	531
seq_6959	685
seq_6860	676
seq_5241	478
seq_5137	452
seq_6032	438
seq_5165	458
seq_7488	464
seq_7584	723
seq_5204	469
seq_5460	521
seq_5387	512
seq_5437	502
seq_8459	765
seq_5623	550
seq_5189	461
seq_7121	700
seq_5737	567
seq_6722	670
seq_6433	621
seq_5266	486
seq_5345	503
